"","sample_id","group","batch"
"CRC0549LMH0000000000R02000","CRC0549LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0566PRH0000000000R01000","CRC0566PRH0000000000R01000","primary","CRLM Dataset"
"CRC0577PRH0000000000R01000","CRC0577PRH0000000000R01000","primary","CRLM Dataset"
"CRC0601PRH0000000000R06000","CRC0601PRH0000000000R06000","primary","CRLM Dataset"
"CRC0622PRH0000000000R01000","CRC0622PRH0000000000R01000","primary","CRLM Dataset"
"CRC0666PRH0000000000R01000","CRC0666PRH0000000000R01000","primary","CRLM Dataset"
"CRC0682PRH0000000000R05000","CRC0682PRH0000000000R05000","primary","CRLM Dataset"
"CRC0683PRH0000000000R01000","CRC0683PRH0000000000R01000","primary","CRLM Dataset"
"CRC0689PRH0000000000R01000","CRC0689PRH0000000000R01000","primary","CRLM Dataset"
"CRC0707PRH0000000000R01000","CRC0707PRH0000000000R01000","primary","CRLM Dataset"
"CRC0714PRH0000000000R02000","CRC0714PRH0000000000R02000","primary","CRLM Dataset"
"CRC0736PRH0000000000R01000","CRC0736PRH0000000000R01000","primary","CRLM Dataset"
"CRC0740PRH0000000000R01000","CRC0740PRH0000000000R01000","primary","CRLM Dataset"
"CRC1264LMH0000000000R01000","CRC1264LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1360LMH0000000000R09000","CRC1360LMH0000000000R09000","metastasis","CRLM Dataset"
"CRC1473LMH0000000000R01000","CRC1473LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1562LMH0000000000R01000","CRC1562LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1586LMH0000000000R01000","CRC1586LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1605LMH0000000000R01000","CRC1605LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0076LMH0000000000R02000","CRC0076LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0490LMH0000000000R09000","CRC0490LMH0000000000R09000","metastasis","CRLM Dataset"
"CRC0772LMH0000000000R01000","CRC0772LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1241LMH0000000000R05000","CRC1241LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC1599LMH0000000000R05000","CRC1599LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC1629LMH0000000000R01000","CRC1629LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0095LMH0000000000R01000","CRC0095LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0098LMH0000000000R01000","CRC0098LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0102LMH0000000000R06000","CRC0102LMH0000000000R06000","metastasis","CRLM Dataset"
"CRC0123LMH0000000000R01000","CRC0123LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0150LMH0000000000R01000","CRC0150LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0219LMH0000000000R05000","CRC0219LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC0262LMH0000000000R01000","CRC0262LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0291LMH0000000000R01000","CRC0291LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0399LMH0000000000R01000","CRC0399LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0404LMH0000000000R09000","CRC0404LMH0000000000R09000","metastasis","CRLM Dataset"
"CRC0419LMH0000000000R09000","CRC0419LMH0000000000R09000","metastasis","CRLM Dataset"
"CRC0440LMH0000000000R05000","CRC0440LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC0456LMH0000000000R01000","CRC0456LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0493LMH0000000000R05000","CRC0493LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC0516LMH0000000000R05000","CRC0516LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC0771LMH0000000000R05000","CRC0771LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC1257LMH0000000000R01000","CRC1257LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1313LMH0000000000R05000","CRC1313LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC1331LMH0000000000R09000","CRC1331LMH0000000000R09000","metastasis","CRLM Dataset"
"CRC1350LMH0000000000R01000","CRC1350LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1451LMH0000000000R01000","CRC1451LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1472LMH0000000000R01000","CRC1472LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1620LMH0000000000R02000","CRC1620LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC1917LMH0000000000R01000","CRC1917LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0024LMH0000000000R10000","CRC0024LMH0000000000R10000","metastasis","CRLM Dataset"
"CRC0028LMH0000000000R02000","CRC0028LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0050LMH0000000000R02000","CRC0050LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0050PRH0000000000R04000","CRC0050PRH0000000000R04000","primary","CRLM Dataset"
"CRC0051LMH0000000000R02000","CRC0051LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0053LMH0000000000R02000","CRC0053LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0053PRH0000000000R04000","CRC0053PRH0000000000R04000","primary","CRLM Dataset"
"CRC0077LMH0000000000R01000","CRC0077LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0166LMH0000000000R02000","CRC0166LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0306LMH0000000000R01000","CRC0306LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0356LMH0000000000R01000","CRC0356LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0574LMH0000000000R01000","CRC0574LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1182LMH0000000000R01000","CRC1182LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1182PRH0000000000R01000","CRC1182PRH0000000000R01000","primary","CRLM Dataset"
"CRC1624LMH0000000000R01000","CRC1624LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1624PRH0000000000R05000","CRC1624PRH0000000000R05000","primary","CRLM Dataset"
